,site_id,agency,latitude,longitude,state,well_depth_va,hole_depth_va,category,r2_score
1322,425048073472501,USGS,42.84638889,-73.7908056,NY,14.0,17.0,1.0,0.1902988410617114
1323,425448076350002,USGS,42.9133333,-76.5833333,NY,44.0,44.0,1.0,0.3299866995156874
1324,425511074254001,USGS,42.91975,-74.4279167,NY,48.0,50.4,1.0,0.0962297912962448
1325,425704078360601,USGS,42.95280278,-78.6031667,NY,18.0,31.5,1.0,0.0653066493174252
1326,425803077151201,USGS,42.9675,-77.2533333,NY,20.0,20.0,0.0,0.1752299551269375
1327,425821076461301,USGS,42.9725,-76.7703333,NY,33.8,33.8,1.0,0.2403204987121735
1328,425833077503901,USGS,42.97580556,-77.8440833,NY,25.5,31.5,0.0,0.0224234826395148
1329,425840077133901,USGS,42.9778411,-77.2272029,NY,139.0,139.0,0.0,0.0119445392935754
1330,425846075504501,USGS,42.97938889,-75.84575,NY,170.0,170.0,3.0,0.6584617515654978
1331,425913078085501,USGS,42.987,-78.1481944,NY,75.0,,0.0,0.008541125762721
1332,430029121552101,USGS,43.00800288,-121.9237384,OR,205.0,205.0,3.0,0.2874987478719363
1333,430056075354102,USGS,43.0156241,-75.5943461,NY,15.0,17.0,0.0,0.2109460459247444
1334,430121074523001,USGS,43.02244444,-74.8750833,NY,97.0,103.2,2.0,0.0082046527385223
1335,430146078101301,USGS,43.02963889,-78.1704444,NY,74.6,74.6,1.0,0.1819744011294898
1336,430203091501201,USGS,43.03416667,-91.8366667,IA,23.0,23.4,1.0,0.0747985246688748
1337,430243076180401,USGS,43.0453441,-76.300763,NY,160.0,220.0,0.0,0.0008601248255842
1338,430243076180402,USGS,43.0453441,-76.300763,NY,210.0,220.0,1.0,0.0317862339469844
1339,430252077283402,USGS,43.048,-77.47575,NY,14.5,,0.0,0.1142751257808489
1340,430311077051501,USGS,43.0530833,-77.0867222,NY,28.8,28.8,1.0,0.5789971929571159
1341,430327073475401,USGS,43.0576111,-73.79752778,NY,290.0,304.0,2.0,0.4679777780992848
1342,430510093425101,USGS,43.0861111,-93.7141667,IA,23.9,,0.0,0.6603648285935366
1343,430649121305201,USGS,43.11332948,-121.5154387,OR,407.0,407.0,3.0,0.7539008092807065
1344,430739078502701,USGS,43.12777778,-78.841,NY,39.0,,0.0,1.0
1345,430924078241301,USGS,43.15677778,-78.40363889,NY,90.0,198.0,2.0,0.0410544922357641
1346,430930074290301,USGS,43.15825,-74.4841667,NY,14.9,14.9,1.0,0.0042620295784859
1347,431030073192101,USGS,43.17494444,-73.3219444,NY,15.0,16.0,0.0,0.0575225618878733
1348,431045078160401,USGS,43.17916667,-78.2680278,NY,53.0,54.2,0.0,0.0158556786571166
1349,431120071284201,USGS,43.18881944,-71.47836389,NH,94.0,94.0,0.0,0.017267534847707
1350,431227075233301,USGS,43.2075,-75.3925,NY,52.0,,2.0,0.0810047093971944
1351,431308078544501,USGS,43.21894444,-78.9122222,NY,23.0,25.0,1.0,0.0187116211751098
1352,431359075235501,USGS,43.23294444,-75.3985,NY,35.2,35.4,1.0,0.0667882417568532
1353,431540071452801,USGS,43.261189,-71.7573003,NH,43.0,,1.0,0.0289195633007099
1354,431841074573201,USGS,43.31141667,-74.9589167,NY,58.0,58.0,0.0,0.0005284323802109
1355,432148076225101,USGS,43.3633333,-76.3808333,NY,83.0,,0.0,0.6689474889012899
1356,432148076225102,USGS,43.3633333,-76.3808333,NY,30.0,,0.0,0.7088796084383934
1357,432310070393301,USGS,43.38619518,-70.65866619,ME,39.0,91.0,1.0,0.2442165795032835
1358,432832074122201,USGS,43.47580556,-74.20577778,NY,16.0,19.0,0.0,0.0262646007569167
1359,433001073474701,USGS,43.50044444,-73.7964167,NY,35.5,35.5,1.0,0.0631644689284459
1360,433112075091501,USGS,43.5203333,-75.1539722,NY,31.0,31.0,0.0,0.0153927149919433
1361,433258073440201,USGS,43.54941667,-73.7339722,NY,231.0,231.0,2.0,0.5757518611802769
1362,433551110443501,USGS,43.5974143,-110.7437613,WY,59.45,60.0,3.0,0.4507789250800107
1363,433603110443501,USGS,43.60073657,-110.7437391,WY,60.23,60.23,3.0,0.6233279659299175
1364,433604110443402,USGS,43.60116667,-110.7426389,WY,94.45,95.0,3.0,0.6721305696864308
1365,433604110443403,USGS,43.60118056,-110.7426611,WY,64.0,65.0,3.0,0.6682802714506527
1366,433613110443501,USGS,43.60346716,-110.7438059,WY,59.0,60.0,3.0,0.2283657020963387
1367,433615110440001,USGS,43.6040424,-110.7339749,WY,60.36,60.36,3.0,0.5044293769207147
1368,433641110441501,USGS,43.6118333,-110.7372222,WY,70.0,70.0,3.0,0.5571042623022469
1369,434400121275801,USGS,43.73344537,-121.4671059,OR,100.0,100.0,0.0,0.0565620978389054
1370,434955070261401,USGS,43.8320211,-70.43672039,ME,22.5,,1.0,0.0645844515326607
1371,435253073440701,USGS,43.8814491,-73.7348522,NY,26.7,26.9,0.0,0.031904314026908
1372,435453070013601,USGS,43.91480189,-70.026162,ME,101.0,,0.0,0.3422692572149279
1373,435902070171301,USGS,43.9839636,-70.28644289,ME,,,0.0,0.6950674856563945
1374,440050094102801,USGS,44.01385187,-94.17468,MN,390.0,390.0,3.0,0.1624685338492265
1375,440114075453701,USGS,44.02052778,-75.7603333,NY,45.3,45.5,0.0,0.2978973164355898
1376,440213070203201,USGS,44.0370177,-70.3417221,ME,290.0,290.0,1.0,0.1624020158123734
1377,440642070583402,USGS,44.1117349,-70.9756253,ME,,,0.0,0.0078644676667862
1378,440810069553601,USGS,44.13812919,-69.9261605,ME,404.0,404.0,1.0,0.0582628784436678
1379,440823070291501,USGS,44.1397931,-70.4870029,ME,39.0,174.0,0.0,0.1400310544305547
1380,440918069564001,USGS,44.1550732,-69.9439387,ME,62.0,72.0,2.0,0.0012114606420167
1381,440939075191301,USGS,44.1608333,-75.32027778,NY,45.0,45.0,0.0,0.0313957622924613
1382,441214075542101,USGS,44.20394444,-75.9058611,NY,23.0,23.0,0.0,0.2976802084292926
1383,441440068182701,USGS,44.24452515,-68.3069606,ME,175.0,175.0,1.0,0.1240947055981226
1384,441533069452401,USGS,44.25923568,-69.75615499,ME,20.0,28.0,0.0,0.2162695401426481
1385,441644073315101,USGS,44.2788611,-73.53088889,NY,300.0,300.0,1.0,0.1195384821788032
1386,441801069455501,USGS,44.30027778,-69.76527778,ME,160.0,160.0,0.0,0.076018176173411
1387,442233069490701,USGS,44.37590109,-69.818103,ME,,,0.0,0.041631265930328
1388,442238068154101,USGS,44.3772222,-68.26138889,ME,98.2,98.2,0.0,1.0
1389,442242121405501,USGS,44.37833889,-121.6831278,OR,403.0,403.0,2.0,0.1553996367996144
1390,442450068175201,USGS,44.41388889,-68.29777778,ME,97.8,97.8,0.0,0.1732906758576948
1391,442515070481002,USGS,44.42089815,-70.8022921,ME,,,1.0,0.1965973597909137
1392,442822069081301,USGS,44.4728514,-69.1364277,ME,27.0,,1.0,0.0778239412624612
1393,443053094591001,USGS,44.5148111,-94.9861694,MN,107.0,120.0,2.0,0.7924915606127826
1394,443407069020901,USGS,44.5686842,-69.03531538,ME,33.0,48.0,1.0,0.3153907127559242
1395,443647070552302,USGS,44.7797763,-70.9225736,ME,23.6,,1.0,0.2724447868515713
1396,443647070552303,USGS,44.7787944,-70.9212194,ME,29.0,29.0,1.0,0.0929101680704895
1397,443831070002601,USGS,44.6420061,-70.0067256,ME,35.0,37.0,1.0,0.1352582188382842
1398,443852092420901,USGS,44.64777778,-92.7027778,MN,21.11,22.0,0.0,2.753794237997376e-05
1399,443912092423501,USGS,44.6533333,-92.71,MN,16.85,19.0,1.0,0.5335997704340824
1400,444205092500001,USGS,44.70138889,-92.8336111,MN,151.0,151.0,2.0,0.656387192403006
1401,444302070252401,USGS,44.7172813,-70.4228435,ME,150.0,150.0,0.0,0.0045910133256507
1402,444424095312301,USGS,44.73985556,-95.5229694,MN,100.0,120.0,2.0,0.2173239322296906
1403,444427093353903,USGS,44.74079615,-93.5944006,MN,525.0,655.0,3.0,0.9333336327996136
1404,444431095324101,USGS,44.74195556,-95.5447389,MN,118.0,126.0,1.0,0.1776997268500053
1405,444443095305001,USGS,44.74528056,-95.5136889,MN,95.0,101.0,2.0,0.1422015939207614
1406,444447095293501,USGS,44.74565556,-95.4931444,MN,120.0,120.0,2.0,0.5632148706691831
1407,444904074455201,USGS,44.8178312,-74.7640799,NY,11.4,12.0,0.0,0.0205537889724659
1408,444950068220602,USGS,44.83201539,-68.36585489,ME,47.0,47.0,0.0,0.0029800426458278
1409,445052073350201,USGS,44.848,-73.584,NY,78.0,80.0,1.0,0.2326220265470227
1410,445216074593001,USGS,44.87116167,-74.99131549,NY,179.0,,1.0,0.3194174971210233
1411,445227067520101,USGS,44.8742403,-67.8663922,ME,30.0,,0.0,0.4147414041240794
1412,445319068560101,USGS,44.8886799,-68.9330941,ME,101.0,101.0,0.0,0.2104356332562316
1413,445511074103901,USGS,44.91974017,-74.1771757,NY,37.0,42.0,1.0,0.6017650047715535
1414,445511074103902,USGS,44.91971239,-74.1771201,NY,116.0,117.0,1.0,0.2254577161486424
1415,445805073380501,USGS,44.9680833,-73.6346944,NY,6.0,6.0,0.0,0.0005170509295161
1416,450116093205301,USGS,45.02107586,-93.3482838,MN,200.0,200.0,0.0,0.5101060112960245
1417,450223093231801,USGS,45.0396867,-93.388563,MN,422.0,422.0,3.0,0.9912399843383228
1418,450238093082501,USGS,45.0438546,-93.1404995,MN,536.0,536.0,3.0,0.258090862357302
1419,450524112380701,USGS,45.0899198,-112.6361282,MT,217.0,217.0,3.0,0.325355155547924
1420,450539070301301,USGS,45.09422118,-70.50312327,ME,21.8,31.0,0.0,0.2022854821741067
1421,450713067162801,USGS,45.1203532,-67.2738802,ME,150.0,150.0,0.0,1.0
1422,450937112393701,USGS,45.1601988,-112.661131,MT,47.0,,1.0,0.116244924402721
1423,451128070280301,USGS,45.1911647,-70.467012,ME,22.9,,0.0,0.0249561112328571
1424,451746106301101,USGS,45.2961012,-106.5036486,MT,67.0,70.0,1.0,0.01781624293228
1425,452012093412701,USGS,45.3364583,-93.6906944,MN,22.05,23.5,0.0,0.0035011313205896
1426,452033122195901,USGS,45.36561808,-122.3341982,OR,177.0,190.0,3.0,0.264553583336835
1427,452416106413001,USGS,45.4044313,-106.6922659,MT,348.0,353.0,2.0,0.6672414694047955
1428,452822122372001,USGS,45.47263889,-122.6233333,OR,124.0,124.0,3.0,0.132200964232191
1429,452825122355501,USGS,45.4734305,-122.5998016,OR,156.0,156.0,2.0,0.1058514202781041
1430,452827122382401,USGS,45.473944,-122.641186,OR,27.0,27.0,1.0,0.243826204691292
1431,452827122382402,USGS,45.473919,-122.641211,OR,98.0,98.0,0.0,0.0003333767859062
1432,452829069322101,USGS,45.49060148,-69.6645006,ME,24.0,31.0,0.0,0.0081485484097935
1433,452859122364701,USGS,45.48299417,-122.6142188,OR,169.0,169.0,2.0,0.1861901388468555
1434,452912122312801,USGS,45.48646389,-122.5260889,OR,59.0,63.0,3.0,0.0243925071090628
1435,453107106110601,USGS,45.51860989,-106.1855677,MT,68.0,72.0,0.0,0.0361548221769324
1436,453629068531801,USGS,45.60810429,-68.8878186,ME,30.5,31.0,0.0,0.1938926889173803
1437,454043110005101,USGS,45.6785695,-111.0150295,MT,13.0,,1.0,0.1626005500205397
1438,454302108392001,USGS,45.7171728,-108.6562513,MT,13.0,13.0,0.0,0.2646994473050346
1439,454809111095401,USGS,45.80242916,-111.1657858,MT,101.0,400.0,1.0,0.1316783240739005
1440,455927095123101,USGS,45.99095278,-95.2068444,MN,20.35,21.0,0.0,0.0139233162349481
1441,461518114090802,USGS,46.2554771,-114.1550942,MT,40.0,40.0,0.0,0.4274574744467746
1442,461935118081501,USGS,46.32620556,-118.1385583,WA,172.5,,3.0,0.0044535714841618
1443,462641110561701,USGS,46.4446606,-110.9388243,MT,107.0,107.0,2.0,0.2008827022736714
